category,field,occurrences,strategyCount,dateCount,strategies,exampleDate,exampleStrategy,exampleExcerpt
宏观与海外,通胀与实际利率,637,5,57,基金、宏观、权益、海外、黄金,2026.09.15,海外,…是美联储 12 月会议纪要落地，整体延续鸽派基调，但内部分歧显著：3 位官员主张一次性降息 50 基点，2 位官员反对降息，多数官员则倾向后续若通胀回落再逐步宽松，这直接导致市场对 1 月降息的预期从之前的 15% 进一步降至 13.8%，维持利率不变概率升至 86.2%；而美国财长明确支持…
宏观与海外,地缘事件,627,3,57,基金、海外、黄金,2026.09.15,海外,一、海外宏观方面： 回顾过去一周，海外市场整体处于 “政策预期博弈 + 地缘风险扰动” 的双重影响下，核心变化集中在两大维度： 第一是关键事件层面，最核心的变量有两个。一是美联储 12 月会议纪要落地，整体延续鸽派基调，…
宏观与海外,美元与汇率,229,2,57,基金、黄金,2026.09.15,黄金,…虹吸效应。 AI产业景气度持续超预期，美股AI主线强化、市场风险偏好上行，黄金相对吸引力边际下降。 短期看黄金仍以弱势磨底为主，等待风险落地。 美元强势、美债收益率高位震荡的格局难以快速扭转。中期紧缩预期充分定价后，有望迎来估值修复。长期结构性支撑逻辑未变。
宏观与海外,就业数据,228,2,57,海外、黄金,2026.09.15,海外,…续跟踪的重点： 第一是美联储 1 月 FOMC 会议（1 月 27-28 日）。重点关注三个维度：一是利率决策是否符合市场预期；二是会议声明中对就业、通胀的表述变化，以及对后续政策路径的暗示；三是投票结果反映的内部分歧程度，这将直接影响市场对全年降息节奏的定价。 第二是关键经济数据的发布。核…
宏观与海外,CPI,114,1,57,海外,2026.09.15,海外,…分歧程度，这将直接影响市场对全年降息节奏的定价。 第二是关键经济数据的发布。核心关注 1 月 9 日的美国非农就业数据、1 月 12 日的美国 CPI 数据，以及 1 月 5 日已公布的德国 CPI 数据后续影响。这些数据将验证美国经济韧性和通胀回落趋势，是判断美联储政策节奏的核心依据，若数据…
宏观与海外,GDP,57,1,57,宏观,2026.09.15,宏观,…看，和美国的贸易流量依然在压缩，当然7月出口数据当中对美出口同比也是回落的，但由于其他地区的出口在回升，整体出口表现出一定韧性 7月和8月的实际GDP大概率还是在4.9和4.7，其实考虑到基数效应，已经是偏弱的情况了，虽然全年大概率是无忧，但其实单看7月的数据已经有点压力，所以近期也有一些挤牙…
宏观与海外,PPI,57,1,57,宏观,2026.09.15,宏观,汪一欣： 从现在开始到年底月均PPI环比要0.4%左右，同比才能转正，目前来看难度大 出口角度来看，和美国的贸易流量依然在压缩，当然7月出口数据当中对美出口同比也是回落的，但由于其…
权益与基金,行业与板块,1961,4,57,基金、权益、海外、转债,2026.09.15,转债,…简述】 1）本周上证指数上涨0.41%，深证成指下跌1.17%，创业板指下跌4.16%，科创50下跌2.79%，市场成交量维持3万亿以上。 2）板块方面，创新药、机器人、工业母机表现突出，半导体材料、芯片、光通信等AI硬件领跌。
权益与基金,ETF名称与代码,1581,5,57,利率债、IRS及国债期货、基金、权益、转债、黄金,2026.09.15,转债,张文瀚： 科技： AI硬件领域维持中期乐观判断： 科创新材料ETF 588010 半导体设备ETF 159516 科创芯片ETF 588200 通信ETF 515880 消费电子ETF 159732 科技支线可…
权益与基金,涨跌幅,853,5,57,REITs、基金、权益、转债、黄金,2026.09.15,REITs,薛炜同： 利率债大幅下行，但REITs暂时涨幅还未跟上，布局保障房类资产。
权益与基金,指数与点位,678,2,57,权益、转债,2026.09.15,转债,张文瀚： 【本周权益市场简述】 1）本周上证指数上涨0.41%，深证成指下跌1.17%，创业板指下跌4.16%，科创50下跌2.79%，市场成交量维持3万亿以上。 2）板块方面，创新药、机器人…
权益与基金,盈利与业绩,574,3,57,基金、权益、转债,2026.09.15,转债,…余算力的消息引起北美算力投资圈的大讨论，对于资本开支的确定性投资者产生较大分歧，随之而来的是全球科技股调整。 2、如何应对当前市场： 1）科技在基本面没出现大幅变化前依然为市场主线，可作为中期配置选择。 2）短期确实可以做部分交易切换，入手机器人、医药等博弈AI科技回调时，资金最容易流入的地方…
权益与基金,风格与风险偏好,509,4,57,基金、权益、转债、黄金,2026.09.15,转债,…8010 半导体设备ETF 159516 科创芯片ETF 588200 通信ETF 515880 消费电子ETF 159732 科技支线可适当做轮动： 电网设备ETF 159326 （压舱石属性，待设备出海订单催化，等待二季报业绩情况） 卫星ETF 159206 （近期盘整阶段，7.10左右…
权益与基金,估值,170,2,57,信用债、黄金,2026.09.15,信用债,杨惠萍： 利率债企稳，信用债在前期估值默默上行的过程中，部分曲线位置凸点（3年出头）有性价比，可以根据负债情况酌情参与。另外近期一级发行项目增多，叠加跨季可以重点关注一级项目。
权益与基金,成交额与成交量,155,2,57,权益、转债,2026.09.15,转债,张文瀚： 【本周权益市场简述】 1）本周上证指数上涨0.41%，深证成指下跌1.17%，创业板指下跌4.16%，科创50下跌2.79%，市场成交量维持3万亿以上。 2）板块方面，创新药、机器人、工业母机表现突出，半导体材料、芯片、光通信等AI硬件领跌。
权益与基金,基金规模,5,1,5,地方债,2026.08.04,地方债,薛炜同： 30年地方债保险需求持续，但不利因素开始累积，今日云南20多亿规模出现小幅发飞情况，暂时保持谨慎观望态度，等TL技术上企稳再入场做多。
转债、衍生品与ABS,转债价格,54,1,9,转债,2026.07.03,转债,汪禹陶： 4月初以来，国内权益市场呈现企稳态势，尤其是半导体等科技板块表现较为强势。这一波段来看，受限于转债中位数偏高等因素，转债整体表现弱于正股。当前权益市场走势明显转弱，转债方面预计短期维持弱于正股的表现，短期较难走出趋势性上行行情。后续仍需密切关…
转债、衍生品与ABS,正股表现,18,1,9,转债,2026.07.03,转债,汪禹陶： 4月初以来，国内权益市场呈现企稳态势，尤其是半导体等科技板块表现较为强势。这一波段来看，受限于转债中位数偏高等因素，转债整体表现弱于正股。当前权益市场走势明显转弱，转债方面预计短期维持弱于正股的表现，短期较难走出趋势性上行行情。后续仍需密切关注权益市场的走势，转债方面建议维持低仓…
转债、衍生品与ABS,增信与分层,16,1,8,地方债,2026.09.08,地方债,…景下，建议适当减持超长期地方债。新出的《保险公司资产负债管理办法》下，保险对国债的配置力量可能减弱，但在净投资收益覆盖率指标的要求下，分子端只认票息+股息+租金，对于高票息的地方债而言，预计受到的冲击相对较小。
转债、衍生品与ABS,期货基差与持仓,3,2,3,利率债、IRS及国债期货、黄金,2026.07.31,利率债、IRS及国债期货,…出台务实管用的增量政策，加大逆周期调节力度，让市场觉得下半年增量货币政策的概率加大，带动今天TL强势突破了前期高点并且收在最高，且今年其他期限的国债期货也同步走强，那么对于此前的交易思路就要修正，建议大家逢回调买30年老券对标24T6按照2.18
